Subject,Title,S,A,B,C,D,E,F,Others (I/DT/MP),Total
CD202A5,PROJECT BASED LEARNING II (CD202A5),0,3,10,19,19,1,0,6,58
CD203A4,OBJECT ORIENTED PROGRAMMING USING JAVA LAB (CD203A4),4,13,10,13,13,1,0,4,58
CD204A1,DESIGN AND ANALYSIS OF ALGORITHMS (CD204A1),0,4,15,14,11,9,1,5,59
CD204A4,DATABASE MANAGEMENT SYSTEMS LAB (CD204A4),6,13,15,11,8,2,0,3,58
CD205A1,DATABASE MANAGEMENT SYSTEMS (CD205A1),3,10,17,8,10,5,0,6,59
CD207A3,PROGRAMMING IN JAVA (ELECTIVE II) (CD207A3),1,2,7,19,12,8,5,5,59
GN201B1,UNIVERSAL HUMAN VALUE II (GN201B1),5,43,123,143,76,19,14,26,449
IT220A2,INTRODUCTION TO CYBER SECURITY (OPEN ELECTIVE) (IT220A2),4,26,22,7,3,0,0,6,68
MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",20,39,44,44,62,46,84,28,367
ALL SUBJECTS,-,43,153,263,278,214,91,104,89,1235
