sale_id,product,category,quantity,sales_amount
S001,Laptop,Electronics,2,120000
S002,Mouse,Electronics,8,8000
S003,Keyboard,Electronics,5,7500
S004,Headphones,Electronics,6,12000
S005,Monitor,Electronics,3,45000
S006,Office Chair,Furniture,4,28000
S007,Desk,Furniture,3,30000
S008,Bookshelf,Furniture,2,14000
S009,Table Lamp,Furniture,6,9000
S010,Sofa,Furniture,1,25000
S011,T-Shirt,Clothing,10,7000
S012,Jeans,Clothing,7,10500
S013,Jacket,Clothing,4,12000
S014,Sneakers,Clothing,5,15000
S015,Cap,Clothing,8,4000
S016,Rice,Grocery,12,7200
S017,Cooking Oil,Grocery,9,4500
S018,Sugar,Grocery,10,5000
S019,Tea,Grocery,6,3000
S020,Biscuits,Grocery,15,2250
S021,Notebook,Stationery,20,2000
S022,Pen,Stationery,30,1500
S023,Pencil,Stationery,25,750
S024,Eraser,Stationery,18,360
S025,Marker,Stationery,12,720
